"gender" "math" "math interest" "math evaluation" "math input" "math hours" "science" "science interest" "science evaluation" "science input" "science hours" "parental education" "educational resources"
"boy" 560.78623 7.03246 6.66537 7.42878 "<= 45min" 478.3896 8.329 7.60129 7.91938 "<= 45min" "high school" 8.19314
"boy" 458.05008 7.91186 7.57539 7.85736 "<= 45min" 424.29843 8.329 7.60129 5.23495 "<= 45min" "junior high school" 7.37134
"boy" 651.26634 5.03748 7.57539 5.86845 "45min - 3hours" 621.15691 10.82037 8.84836 13.83345 "<= 45min" "junior high school" 8.19314
"boy" 510.0133 7.51389 7.57539 7.85736 "<= 45min" 466.63065 9.41832 8.84836 8.30491 "<= 45min" "high school" 8.19314
"boy" 675.29608 7.51389 6.66537 7.42878 "<= 45min" 653.36554 12.9437 10.59285 13.83345 "<= 45min" "high school" 8.19314
"boy" 602.45255 8.93041 8.55351 7.85736 "45min - 3hours" 565.31995 8.329 6.91883 7.91938 "<= 45min" "junior high school" 8.91919
"boy" 537.66153 7.03246 7.88323 7.42878 "45min - 3hours" 504.71035 8.67804 9.81631 7.91938 "<= 45min" "elementary school" 7.37134
"boy" 589.90912 5.03748 3.41233 3.26515 "<= 45min" 607.59533 11.54992 7.27088 9.11017 "<= 45min" "high school" 11.64917
"boy" 583.52892 8.93041 7.57539 7.85736 "45min - 3hours" 589.68838 8.67804 8.54023 8.30491 "<= 45min" "high school" 8.91919
"boy" 572.26283 8.93041 7.2741 7.85736 "<= 45min" 571.97739 9.41832 8.54023 10.02885 "<= 45min" "high school" 8.91919
"boy" 508.58524 7.51389 6.66537 6.97717 ">= 3hours" 509.93505 9.41832 8.84836 9.54897 "<= 45min" "high school" 10.25396
"boy" 517.24492 8.26761 7.2741 8.70884 "<= 45min" 509.41186 9.41832 7.91985 8.69954 "<= 45min" "high school" 9.60097
"girl" 654.00672 8.93041 8.55351 9.6346 "45min - 3hours" 597.21642 8.329 8.54023 8.30491 ">= 3hours" "college" 11.64917
"girl" 525.5456 8.93041 8.55351 9.15641 "45min - 3hours" 456.54579 8.67804 9.15956 7.91938 "45min - 3hours" "high school" 9.60097
"girl" 581.32821 8.60159 8.20673 9.15641 ">= 3hours" 525.2997 9.41832 8.84836 9.11017 "<= 45min" "high school" 8.91919
"girl" 552.36845 8.60159 8.20673 8.27843 "45min - 3hours" 485.75408 7.64598 8.84836 8.30491 "<= 45min" "junior high school" 8.19314
"girl" 638.92985 8.26761 8.55351 8.70884 "45min - 3hours" 554.05528 7.64598 8.54023 8.30491 "<= 45min" "high school" 10.25396
"girl" 639.18907 10.35777 7.88323 7.85736 "45min - 3hours" 602.53288 9.03893 6.91883 8.69954 "<= 45min" "high school" 9.60097
"girl" 494.46168 8.60159 7.2741 7.42878 "45min - 3hours" 532.90575 7.98897 7.91985 7.91938 "<= 45min" "high school" 7.37134
"girl" 562.18871 8.93041 7.2741 8.27843 "45min - 3hours" 506.15575 8.329 7.91985 9.54897 "<= 45min" "junior high school" 8.91919
"girl" 608.96169 9.60333 7.88323 7.85736 "45min - 3hours" 491.91833 8.329 8.84836 8.30491 "<= 45min" "high school" 10.25396
"girl" 524.30949 5.03748 7.2741 8.27843 ">= 3hours" 494.31333 7.98897 8.84836 7.52384 "<= 45min" "high school" 10.25396
"girl" 630.94258 13.46507 11.01771 9.6346 "<= 45min" 543.59268 8.67804 8.23142 7.91938 "<= 45min" "junior high school" 8.19314
"girl" 637.06222 10.80246 8.55351 9.6346 "<= 45min" 629.48419 9.41832 8.23142 9.54897 "45min - 3hours" "high school" 8.19314
"girl" 550.1492 8.60159 7.57539 9.15641 "45min - 3hours" 494.35545 7.98897 9.15956 7.52384 "<= 45min" "college" 10.25396
"girl" 515.18578 8.26761 7.2741 8.27843 "<= 45min" 457.58988 7.98897 6.5266 8.30491 "<= 45min" "high school" 8.91919
"boy" 664.18106 10.35777 10.35139 8.70884 "<= 45min" 681.46842 12.9437 9.15956 11.22017 "<= 45min" "college" 10.92551
"boy" 592.81051 8.26761 8.55351 8.70884 "45min - 3hours" 551.11451 8.67804 8.23142 8.69954 "45min - 3hours" "high school" 9.60097
"boy" 577.61922 7.03246 8.55351 6.97717 "<= 45min" 616.07286 9.82743 9.81631 9.11017 "<= 45min" "high school" 8.91919
"boy" 616.32247 8.26761 8.92971 8.27843 "<= 45min" 623.08131 10.82037 9.81631 10.02885 "<= 45min" "high school" 10.92551
"boy" 604.77292 7.91186 7.88323 8.27843 "45min - 3hours" 579.80855 9.03893 8.23142 8.69954 "45min - 3hours" "high school" 9.60097
"boy" 568.44556 9.26151 9.34439 7.42878 "45min - 3hours" 644.78523 11.54992 8.84836 11.22017 "<= 45min" "high school" 10.25396
"boy" 538.81194 10.35777 9.81093 10.74331 "<= 45min" 518.1925 9.41832 9.81631 10.02885 "<= 45min" "high school" 9.60097
"boy" 508.93865 7.91186 7.2741 8.27843 "45min - 3hours" 484.07725 10.27988 8.23142 12.10159 "<= 45min" "high school" 10.25396
"boy" 433.98715 6.36452 7.2741 8.70884 "45min - 3hours" 502.20253 12.9437 13.10323 12.10159 "<= 45min" "junior high school" 10.92551
"boy" 465.07498 7.03246 7.57539 7.85736 "<= 45min" 544.7676 10.27988 7.60129 9.54897 "<= 45min" "junior high school" 9.60097
"boy" 513.82397 7.91186 5.96004 3.26515 "<= 45min" 502.69681 9.41832 6.91883 10.02885 "<= 45min" "junior high school" 7.37134
"boy" 362.95403 5.03748 6.33324 3.26515 "<= 45min" 480.98907 12.9437 13.10323 13.83345 "<= 45min" "university above" 11.64917
"girl" 722.28147 9.26151 8.92971 9.15641 "<= 45min" 682.86472 10.27988 9.15956 8.69954 "<= 45min" "high school" 10.25396
"girl" 701.92318 9.965 7.88323 5.86845 "<= 45min" 585.48573 6.89527 6.5266 8.69954 "<= 45min" "high school" 10.25396
"girl" 616.4494 6.36452 7.2741 7.42878 "<= 45min" 552.3227 9.41832 8.23142 8.30491 "<= 45min" "high school" 8.91919
"girl" 625.07892 7.91186 8.92971 7.42878 "45min - 3hours" 584.59549 8.329 7.60129 7.52384 "45min - 3hours" "high school" 10.92551
"girl" 654.5636 8.93041 7.57539 7.85736 "45min - 3hours" 549.10751 7.28866 6.5266 7.52384 "45min - 3hours" "junior high school" 8.19314
"girl" 633.43222 5.03748 8.20673 8.27843 "45min - 3hours" 580.11788 9.82743 7.60129 9.54897 "<= 45min" "high school" 8.91919
"girl" 603.60474 8.60159 7.88323 8.70884 "45min - 3hours" 507.45069 8.329 7.60129 9.54897 "<= 45min" "university above" 11.64917
"girl" 600.25531 7.91186 7.88323 8.27843 "45min - 3hours" 531.51371 10.27988 7.27088 10.02885 "<= 45min" "junior high school" 8.91919
"girl" 477.31718 8.26761 7.2741 6.97717 "<= 45min" 584.41098 9.82743 8.54023 8.30491 "<= 45min" "high school" 10.92551
"girl" 527.43647 9.965 10.35139 9.6346 "45min - 3hours" 531.431 9.82743 10.59285 8.69954 "45min - 3hours" "high school" 10.25396
"girl" 453.06162 10.35777 9.34439 10.74331 "<= 45min" 457.47466 9.82743 9.15956 10.02885 "<= 45min" "high school" 8.91919
"girl" 401.08342 6.36452 6.97345 6.97717 "<= 45min" 401.55238 9.03893 8.23142 9.54897 "<= 45min" "high school" 9.60097
"boy" 485.63976 9.965 9.34439 8.70884 "45min - 3hours" 464.73996 12.9437 8.84836 9.54897 "45min - 3hours" "university above" 14.01827
"girl" 591.65786 9.965 8.20673 8.70884 "<= 45min" 493.52937 11.54992 8.54023 8.69954 "45min - 3hours" "high school" 10.25396
"girl" 645.73676 13.46507 11.01771 10.74331 "<= 45min" 577.13793 8.329 8.84836 8.30491 "<= 45min" "high school" 9.60097
"girl" 509.09016 8.60159 7.88323 8.70884 "<= 45min" 482.84604 6.89527 6.5266 6.62923 "<= 45min" "high school" 8.91919
"girl" 571.80729 9.965 8.55351 10.74331 "45min - 3hours" 546.18299 9.41832 8.84836 7.91938 "45min - 3hours" "high school" 9.60097
"girl" 670.98183 9.60333 8.92971 9.15641 "<= 45min" 622.92801 10.27988 9.15956 9.11017 "<= 45min" "junior high school" 7.37134
"girl" 610.75569 9.965 7.57539 10.15325 "<= 45min" 597.63486 9.41832 7.91985 8.30491 "<= 45min" "high school" 9.60097
"girl" 568.15159 11.33851 8.92971 9.6346 ">= 3hours" 475.79296 9.41832 8.23142 7.91938 "45min - 3hours" "high school" 8.91919
"girl" 631.00671 13.46507 9.81093 11.44903 "<= 45min" 566.64588 9.82743 9.47921 9.54897 "45min - 3hours" "university above" 10.92551
"girl" 758.5324 9.60333 8.92971 10.74331 "45min - 3hours" 726.8119 9.41832 8.84836 10.02885 "<= 45min" "high school" 8.91919
"girl" 506.39895 6.36452 7.57539 5.86845 ">= 3hours" 504.48722 7.64598 5.40984 5.23495 ">= 3hours" "high school" 9.60097
"girl" 451.97825 7.51389 8.20673 7.85736 "<= 45min" 362.35537 6.42609 4.13635 7.91938 "<= 45min" "junior high school" 8.91919
"girl" 405.60572 6.36452 8.20673 6.97717 "<= 45min" 387.03204 8.67804 7.60129 7.10299 "<= 45min" "junior high school" 8.19314
"boy" 472.83655 8.60159 6.97345 7.42878 "<= 45min" 433.33177 7.64598 7.27088 6.62923 "<= 45min" "high school" 8.19314
"boy" 482.931 11.33851 9.81093 10.74331 "45min - 3hours" 386.5263 8.67804 10.17921 10.02885 "<= 45min" "university above" 10.92551
"boy" 554.89832 8.60159 7.2741 8.70884 "45min - 3hours" 557.58056 8.67804 8.23142 8.69954 "<= 45min" "high school" 9.60097
"boy" 418.76693 8.26761 7.88323 8.27843 "45min - 3hours" 463.14661 7.98897 7.91985 7.91938 "45min - 3hours" "high school" 8.19314
"boy" 356.32991 5.03748 3.41233 3.26515 "45min - 3hours" 346.99138 4.51274 4.13635 3.55609 "45min - 3hours" "high school" 9.60097
"boy" 581.14117 10.35777 8.20673 10.15325 "<= 45min" 596.84533 10.82037 9.47921 10.02885 "45min - 3hours" "junior high school" 8.19314
"boy" 372.70714 10.35777 8.92971 8.70884 "45min - 3hours" 371.88997 9.41832 9.47921 8.69954 "45min - 3hours" "high school" 8.19314
"boy" 415.21771 7.51389 7.2741 7.42878 "45min - 3hours" 517.54372 9.41832 8.23142 8.69954 "45min - 3hours" "junior high school" 8.19314
"boy" 612.21593 12.07123 10.35139 14.34298 "45min - 3hours" 497.46786 8.67804 8.54023 12.10159 "<= 45min" "college" 10.25396
"boy" 560.08544 5.03748 8.20673 5.86845 "<= 45min" 489.66976 7.98897 8.23142 6.05062 "45min - 3hours" "high school" 9.60097
"boy" 408.39605 7.03246 5.96004 7.85736 "<= 45min" 333.46471 7.64598 6.05617 8.30491 "<= 45min" "high school" 8.19314
"boy" 545.67439 9.60333 10.35139 10.74331 ">= 3hours" 429.54996 4.51274 10.59285 6.62923 ">= 3hours" "university above" 14.01827
"boy" 552.27471 8.26761 7.2741 8.27843 "45min - 3hours" 500.62402 7.64598 7.60129 7.52384 "<= 45min" "high school" 9.60097
"girl" 445.87235 9.26151 6.97345 8.70884 "<= 45min" 399.37506 8.329 7.27088 9.11017 "<= 45min" "high school" 8.91919
"girl" 584.56893 10.80246 6.33324 9.6346 "<= 45min" 520.97899 7.64598 5.40984 7.10299 "<= 45min" "college" 10.25396
"girl" 512.88217 8.60159 7.2741 10.15325 "45min - 3hours" 486.64759 8.329 5.40984 7.91938 "<= 45min" "high school" 10.25396
"girl" 526.75578 7.03246 7.88323 7.42878 ">= 3hours" 505.44053 4.51274 6.05617 6.05062 "<= 45min" "high school" 8.19314
"girl" 537.22242 8.26761 7.2741 7.42878 "45min - 3hours" 536.51953 8.67804 7.91985 7.91938 "45min - 3hours" "high school" 9.60097
"girl" 518.7484 9.965 9.34439 8.70884 "45min - 3hours" 489.17232 9.41832 10.17921 8.69954 "<= 45min" "junior high school" 9.60097
"girl" 411.44648 7.91186 8.92971 7.85736 ">= 3hours" 418.46249 8.329 9.47921 8.09665 "<= 45min" "college" 8.91919
"girl" 577.92168 9.60333 7.2741 9.6346 "45min - 3hours" 526.7643 9.03893 7.27088 9.11017 "<= 45min" "high school" 10.92551
"girl" 642.6166 5.03748 7.88323 7.42878 "45min - 3hours" 542.95711 8.67804 8.23142 8.30491 "<= 45min" "college" 9.60097
"boy" 681.68634 6.36452 9.34439 8.27843 "45min - 3hours" 540.21754 8.67804 7.91985 9.54897 "<= 45min" "high school" 10.25396
"boy" 639.85265 9.60333 8.92971 9.6346 "45min - 3hours" 590.16159 7.64598 7.27088 9.11017 "<= 45min" "high school" 9.60097
"boy" 549.1883 9.60333 8.55351 8.27843 "45min - 3hours" 429.9264 7.98897 8.23142 7.52384 "45min - 3hours" "high school" 8.91919
"boy" 590.04086 9.965 8.55351 9.6346 "45min - 3hours" 530.28642 7.28866 7.60129 7.52384 "45min - 3hours" "high school" 9.60097
"boy" 650.36119 10.35777 8.20673 8.70884 "45min - 3hours" 619.25084 12.9437 7.91985 9.11017 "<= 45min" "junior high school" 8.91919
"boy" 558.251 9.60333 13.70742 10.15325 "<= 45min" 589.62815 9.82743 10.59285 10.57281 "<= 45min" "high school" 9.60097
"boy" 661.54437 13.46507 9.81093 9.6346 ">= 3hours" 632.79573 12.9437 11.779 9.11017 "45min - 3hours" "high school" 9.60097
"boy" 594.67042 13.46507 13.70742 10.74331 "45min - 3hours" 506.26639 9.41832 9.47921 10.57281 "<= 45min" "university above" 11.64917
"boy" 476.00442 13.46507 11.9425 12.42205 "45min - 3hours" 457.84782 7.64598 9.47921 8.30491 "<= 45min" "high school" 11.64917
"boy" 463.7839 6.36452 9.34439 9.6346 "<= 45min" 425.04922 5.7899 6.05617 6.05062 "<= 45min" "high school" 8.91919
"boy" 476.25258 6.36452 7.57539 6.47491 "<= 45min" 417.07655 9.03893 7.91985 9.11017 "<= 45min" "junior high school" 10.25396
"girl" 607.50022 9.965 8.20673 9.6346 "45min - 3hours" 580.4451 12.9437 11.09147 10.02885 "<= 45min" "high school" 9.60097
"girl" 393.1299 8.60159 7.88323 3.26515 "<= 45min" 416.94693 5.7899 6.5266 3.55609 "<= 45min" "high school" 8.91919
"girl" 608.68258 13.46507 13.70742 12.42205 "45min - 3hours" 502.35463 7.98897 8.54023 9.54897 "<= 45min" "high school" 11.64917
"girl" 631.99555 9.965 7.88323 9.15641 "45min - 3hours" 632.46337 9.41832 8.54023 8.69954 "<= 45min" "high school" 9.60097
"girl" 560.87037 10.35777 9.34439 10.74331 "45min - 3hours" 530.94458 10.27988 9.15956 9.54897 "<= 45min" "college" 10.92551
"girl" 580.70977 13.46507 11.9425 14.34298 "<= 45min" 527.51674 12.9437 10.17921 13.83345 "<= 45min" "high school" 11.64917
"girl" 584.48133 13.46507 13.70742 14.34298 "<= 45min" 471.19598 9.82743 10.59285 11.22017 "<= 45min" "junior high school" 8.91919
"girl" 589.63012 8.93041 9.81093 11.44903 "45min - 3hours" 545.31828 7.98897 8.84836 8.30491 "<= 45min" "university above" 10.92551
"girl" 457.00269 5.03748 3.41233 10.74331 "<= 45min" 444.30937 4.51274 4.13635 3.55609 "<= 45min" "high school" 10.92551
"boy" 643.42064 13.46507 7.57539 8.27843 "<= 45min" 544.27507 6.42609 4.13635 7.10299 "<= 45min" "junior high school" 8.91919
"boy" 638.18112 13.46507 13.70742 14.34298 "45min - 3hours" 488.74515 6.42609 6.05617 7.52384 "<= 45min" "high school" 8.91919
"boy" 674.32221 10.80246 8.55351 10.15325 "45min - 3hours" 568.85266 9.82743 7.60129 9.11017 "<= 45min" "high school" 8.91919
"boy" 658.43136 10.35777 7.88323 10.15325 "<= 45min" 530.87453 9.41832 8.23142 9.11017 "<= 45min" "college" 10.25396
"boy" 579.49008 13.46507 13.70742 12.42205 "<= 45min" 472.15147 8.67804 11.779 8.69954 "<= 45min" "high school" 8.91919
"boy" 705.29072 10.80246 10.35139 10.15325 "<= 45min" 550.84729 9.82743 8.54023 9.54897 "<= 45min" "junior high school" 8.91919
"boy" 674.2402 10.35777 9.81093 11.44903 "45min - 3hours" 606.6502 10.82037 9.15956 9.54897 "<= 45min" "high school" 10.25396
"boy" 500.20511 9.60333 8.92971 9.15641 "45min - 3hours" 460.47992 8.67804 7.60129 7.52384 "<= 45min" "junior high school" 7.37134
"boy" 664.00932 8.93041 8.92971 8.27843 "45min - 3hours" 602.5774 10.27988 8.23142 8.69954 "<= 45min" "university above" 10.92551
"girl" 654.56136 7.03246 7.57539 8.70884 "45min - 3hours" 537.9658 4.51274 7.27088 7.10299 "<= 45min" "university above" 12.51743
"boy" 566.83336 8.93041 10.35139 5.86845 "<= 45min" 456.58082 7.28866 8.23142 6.62923 "<= 45min" "high school" 10.25396
"boy" 673.20924 12.07123 8.92971 9.6346 "45min - 3hours" 660.5753 10.82037 8.84836 8.69954 ">= 3hours" "high school" 10.25396
"boy" 470.19506 5.03748 6.66537 8.27843 ">= 3hours" 446.59537 7.64598 8.23142 9.54897 ">= 3hours" "high school" 8.91919
"boy" 714.84594 10.80246 9.81093 11.44903 "45min - 3hours" 630.69031 9.82743 10.59285 10.02885 "45min - 3hours" "high school" 9.60097
"boy" 677.02818 10.35777 9.81093 9.6346 ">= 3hours" 619.04298 12.9437 10.17921 10.57281 "45min - 3hours" "university above" 12.51743
"boy" 332.9623 8.60159 6.33324 7.85736 "<= 45min" 329.95634 8.67804 7.60129 8.30491 "<= 45min" "high school" 10.25396
"boy" 575.77193 10.80246 8.07495 8.70884 "45min - 3hours" 527.75471 10.82037 8.54023 6.62923 "45min - 3hours" "university above" 14.01827
"girl" 529.16007 9.965 8.92971 9.15641 "45min - 3hours" 526.01296 9.41832 10.17921 8.30491 "45min - 3hours" "university above" 11.64917
"girl" 688.23907 9.26151 9.34439 9.15641 "45min - 3hours" 632.21962 9.03893 10.17921 9.54897 "45min - 3hours" "university above" 12.51743
"girl" 725.44129 10.35777 8.92971 9.15641 "<= 45min" 593.99217 9.41832 8.54023 8.30491 "<= 45min" "university above" 14.01827
"girl" 519.87535 8.60159 6.97345 8.27843 "<= 45min" 503.49474 9.56564 6.91883 8.30491 "<= 45min" "university above" 11.64917
"girl" 507.55461 5.03748 8.20673 6.47491 "45min - 3hours" 482.82454 9.03893 9.15956 8.69954 "45min - 3hours" "university above" 11.64917
"girl" 580.93647 6.36452 7.57539 5.01998 "<= 45min" 478.23597 5.7899 5.40984 6.05062 "<= 45min" "university above" 11.64917
"girl" 723.66652 8.93041 8.20673 8.27843 "45min - 3hours" 627.07032 10.82037 11.09147 9.11017 "45min - 3hours" "university above" 10.92551
"girl" 642.13313 7.91186 7.2741 7.42878 "45min - 3hours" 581.42089 9.41832 7.91985 7.52384 "45min - 3hours" "university above" 12.51743
"girl" 560.43718 8.60159 6.97345 7.42878 "45min - 3hours" 476.20507 4.51274 5.40984 3.55609 "<= 45min" "college" 10.25396
"girl" 648.12104 9.965 7.57539 9.6346 "45min - 3hours" 605.80339 9.41832 8.23142 8.69954 "45min - 3hours" "university above" 12.51743
"girl" 578.26236 7.51389 5.49149 6.47491 ">= 3hours" 546.53575 8.329 7.91985 8.30491 "45min - 3hours" "university above" 11.64917
"girl" 616.64739 9.26151 7.2741 7.85736 ">= 3hours" 567.98108 8.329 7.91985 7.91938 "45min - 3hours" "university above" 14.01827
"girl" 406.54809 7.03246 3.41233 5.86845 "45min - 3hours" 403.69861 7.28866 5.40984 5.23495 "<= 45min" "university above" 11.64917
"girl" 752.30616 8.60159 7.57539 8.70884 "45min - 3hours" 664.89579 9.03893 8.54023 9.11017 "<= 45min" "university above" 12.51743
"girl" 573.58318 8.26761 7.57539 7.42878 "<= 45min" 497.66775 7.64598 7.60129 7.52384 "<= 45min" "college" 12.51743
"girl" 628.11639 8.26761 7.36315 8.27843 "45min - 3hours" 588.37238 7.98897 7.91985 7.91938 "<= 45min" "university above" 11.64917
"boy" 662.9073 13.46507 13.70742 12.42205 "<= 45min" 567.60759 8.67804 9.47921 7.52384 "45min - 3hours" "college" 9.60097
"boy" 624.67366 8.93041 10.35139 9.15641 ">= 3hours" 550.76939 7.64598 9.47921 7.52384 "45min - 3hours" "university above" 11.64917
"boy" 711.2117 9.965 8.92971 8.70884 "45min - 3hours" 717.64413 12.9437 13.10323 12.10159 "45min - 3hours" "university above" 14.01827
"boy" 677.71724 9.965 9.34439 9.15641 "<= 45min" 617.65519 9.41832 9.47921 8.30491 "45min - 3hours" "university above" 10.92551
"boy" 766.93733 13.46507 13.70742 11.44903 "<= 45min" 684.24891 12.9437 13.10323 10.02885 "45min - 3hours" "high school" 10.25396
"boy" 782.70985 13.46507 9.34439 9.6346 "<= 45min" 711.32842 10.82037 8.23142 8.30491 "45min - 3hours" "university above" 12.51743
"boy" 782.06269 9.965 9.34439 10.15325 "45min - 3hours" 724.25705 12.9437 10.17921 9.11017 "<= 45min" "university above" 12.51743
"boy" 596.63525 9.965 8.55351 10.74331 ">= 3hours" 622.34077 9.03893 8.84836 8.69954 "45min - 3hours" "university above" 11.64917
"boy" 661.42806 9.26151 8.92971 9.15641 ">= 3hours" 598.76242 9.41832 9.47921 9.11017 ">= 3hours" "university above" 14.01827
"boy" 754.87201 9.965 7.88323 9.15641 ">= 3hours" 718.86989 10.27988 9.81631 10.02885 "45min - 3hours" "university above" 11.64917
"boy" 673.37885 11.33851 9.34439 11.44903 "45min - 3hours" 639.21465 6.89527 7.60129 7.91938 "45min - 3hours" "university above" 10.92551
"boy" 827.17565 13.46507 13.70742 10.15325 ">= 3hours" 766.73952 12.9437 13.10323 12.10159 ">= 3hours" "university above" 14.01827
"boy" 785.65716 13.46507 10.35139 11.44903 "<= 45min" 740.78559 12.9437 11.09147 10.02885 "45min - 3hours" "university above" 14.01827
"boy" 659.2621 12.07123 9.81093 12.42205 "<= 45min" 628.86673 10.27988 9.81631 12.10159 "<= 45min" "university above" 14.01827
"boy" 705.37485 7.91186 8.55351 9.6346 ">= 3hours" 684.89692 9.03893 9.47921 8.30491 "45min - 3hours" "university above" 12.51743
"boy" 630.08435 13.27484 7.88323 9.6346 "<= 45min" 587.44428 9.41832 7.91985 8.30491 "45min - 3hours" "university above" 14.01827
"boy" 772.95987 9.965 9.81093 10.74331 ">= 3hours" 713.00536 9.41832 10.17921 9.11017 ">= 3hours" "university above" 14.01827
"boy" 737.48427 10.80246 13.70742 9.6346 "<= 45min" 645.65998 7.28866 13.10323 8.30491 "<= 45min" "high school" 11.64917
"boy" 662.6112 10.80246 11.9425 11.44903 ">= 3hours" 610.8007 9.03893 9.15956 8.30491 "45min - 3hours" "university above" 14.01827
"boy" 740.18442 8.93041 8.20673 10.74331 "<= 45min" 638.87258 8.329 8.84836 9.11017 "45min - 3hours" "university above" 14.01827
"boy" 665.97874 10.35777 8.55351 10.15325 "45min - 3hours" 628.78882 8.329 8.54023 9.11017 ">= 3hours" "university above" 11.64917
"boy" 862.41081 9.60333 8.92971 10.74331 "<= 45min" 692.76746 9.03893 13.10323 8.30491 "<= 45min" "university above" 12.51743
"boy" 887.9304 13.46507 8.55351 10.15325 "<= 45min" 767.38033 12.9437 8.84836 11.22017 "45min - 3hours" "university above" 14.01827
"boy" 644.01495 10.80246 13.70742 10.15325 "<= 45min" 609.58814 9.82743 9.81631 9.11017 "45min - 3hours" "university above" 14.01827
"boy" 696.46746 9.965 8.55351 9.15641 ">= 3hours" 591.71174 7.64598 8.23142 7.91938 "45min - 3hours" "college" 11.64917
"boy" 663.3501 9.965 9.34439 10.15325 ">= 3hours" 611.95466 8.329 10.17921 9.54897 "45min - 3hours" "college" 11.64917
